Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,HerleitungMarkiert,Bundesland.Iso3166-2,Bundesland.Name,Fußnoten,Bemerkung
D,GVM,Nordwestmecklenburg,Grevesmühlen,GreVesMühlen,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,GW,Vorpommern-Greifswald,Greifswald,GreifsWald,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,GZ,Günzburg,Günzburg,GünZburg,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,GÖ,Göttingen,Göttingen,GÖttingen,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,1,
D,GÜ,Landkreis Rostock,Güstrow,GÜstrow,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,H,Hannover,Hannover,Hannover,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,1,
D,HA,Stadt Hagen,Hagen,HAgen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,HAB,Bad Kissingen,Hammelburg,HAmmelBurg,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,HAL,Stadt Halle,Halle,HALle,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,HAM,Stadt Hamm,Hamm,HAMm,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,HAS,Haßberge,Hassfurt,HASsfurt,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,HB,Freie Hansestadt Bremen,Hansestadt Bremen,Hansestadt Bremen,ace2d947-7092-403e-944f-f0ed4757bbfc,Bremen,1,
D,HBN,Hildburghausen,Hildburghausen,HildBurghauseN,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,HBS,Harz,Halberstadt,HalBerStadt,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,HC,Mittelsachsen,Hainichen,HainiChen,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,HCH,"Freudenstadt, Zollernalbkreis",Hechingen,HeCHingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,"3,3",
D,HD,"Stadt Heidelberg, Rhein-Neckar-Kreis",Heidelberg,HeiDelberg,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,"3,3",
D,HDH,Heidenheim,Heidenheim,HeiDenHeim,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,HDL,Börde,Haldensleben,HalDensLeben,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,HE,Helmstedt,Helmstedt,HElmstedt,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,HEB,Nürnberger Land,Hersbruck,HErsBruck,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,HEF,Hersfeld-Rotenburg,Hersfeld,HErsFeld,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,HEI,Dithmarschen,Heide,HEIde,8559927d-c36a-4a30-acb9-9c2bee46dc2f,Schleswig-Holstein,,
D,HER,Stadt Herne,Herne,HERne,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,HET,Mansfeld-Südharz,Hettstedt,HETtstedt,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,HF,Herford,Herford,HerFord,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,HG,Hochtaunuskreis,Homburg,HomburG,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,HGN,Ludwigslust-Parchim,Hagenow,HaGeNow,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,HGW,Hansestadt Greifswald,Hansestadt Greifswald,Hansestadt GreifsWald,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,HH,Freie und Hansestadt Hamburg,Hansestadt Hamburg,Hansestadt Hamburg,b1f1827a-729d-48dc-a13b-78cccd95ebb2,Hamburg,,
D,HHM,Burgenlandkreis,Hohenmölsen,HoHenMölsen,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,HI,Hildesheim,Hildesheim,HIldesheim,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,HIG,Eichsfeld,Heiligenstadt,HeilIGenstadt,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,HIP,Roth,Hilpoltstein,HIlPoltstein,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,HK,Heidekreis,Heidekreis,HeideKreis,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,HL,Hansestadt Lübeck,Hansestadt Lübeck,Hansestadt Lübeck,8559927d-c36a-4a30-acb9-9c2bee46dc2f,Schleswig-Holstein,,
D,HM,Hameln-Pyrmont,Hameln,HaMeln,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,HMÜ,Göttingen,Hann. Münden,Hann. MÜnden,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,HN,Heilbronn,Heilbronn,HeilbronN,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,1,
D,HO,Hof,Hof,HOf,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,
